scenario,Tl,Tc,Ingresos,Tr,G,rB,Gastos,PB,B,BB
COVID_phi=0.09,0.0441150000000001,0.0731765560682154,0.117291556068216,0.01456785,0.05,0.0527237060682156,0.117291556068216,0.0527237060682156,1.9042007535606,0
COVID_phi=0.14,0.0441150000000001,0.0730548237813289,0.117169823781329,0.0226611,0.05,0.044508723781329,0.117169823781329,0.044508723781329,1.75969530096172,0
