cumPop_phi009,L_phi009,cumPop_phi014,L_phi014
0.0870073638399132,4.39776948324509e-14,0.0642499947511091,3.50336494815829e-14
0.0887766444708922,6.49184080777335e-06,0.0696233020757434,2.12690773157775e-05
0.090547189131696,1.94847982856093e-05,0.0738492140991208,5.47237985778882e-05
0.092319373713465,3.89922860855669e-05,0.0775551444536451,9.87311748573895e-05
0.0940935421438877,6.50313863517456e-05,0.0809536559111141,0.000152540271157947
0.0958700098290013,9.76224437865776e-05,0.0841462333837861,0.000215725915381414
0.0976490666852272,0.000136788713795335,0.0871904025849248,0.000288024035785299
0.0994309797575985,0.000182556055627905,0.0901223823817049,0.000369263300126324
0.101215995505534,0.000234952663795844,0.0929666632410732,0.000459331075139166
0.103004341804839,0.00029400883205328,0.0957406853132363,0.000558154383826997
0.104796229707499,0.000359756745219338,0.0984573665423972,0.000665688346639999
0.106581836577264,0.000431825939822607,0.101090684163737,0.000780345960400802
0.108358915075466,0.00051007137199412,0.103645931240477,0.000901718688792239
0.11012817072086,0.00059446411011097,0.106135968600185,0.00102985026954482
0.111890240228064,0.000684979454230283,0.108570669440839,0.0011647715984029
0.113645700060986,0.000781596397028067,0.110957799942954,0.00130650571127249
0.115395073678472,0.000884297164883995,0.113303592792615,0.00145507074620021
0.117138837707604,0.000993066825004825,0.115613134976334,0.00161048175838456
0.118877427231643,0.00110789294732952,0.117890638348728,0.00177275185786535
0.120611240342355,0.00122876531216368,0.120139633506573,0.00194189293420449
0.122340642077495,0.00135567565621096,0.122363111928652,0.00211791612263545
0.124065967841505,0.00148861745102232,0.124563632283819,0.00230083210488253
0.1257875263896,0.00162758570895601,0.126743401342949,0.00249065130241696
0.127505602441119,0.00177257681259732,0.128904336522282,0.00268738399878745
0.12922045897664,0.00192358836427497,0.131048114899731,0.00289104041472042
0.130932339264165,0.00208061905286717,0.13317621210813,0.00310163075157352
0.132641468652201,0.00224366853554326,0.135289933542493,0.00331916521353501
0.134348056161531,0.00241273733245671,0.137390439654886,0.0035436540155816
0.136052295902455,0.00258782673271027,0.139478766646973,0.00377510738197171
0.137754368340187,0.00276893871016511,0.141555843540965,0.00401353553855059
0.139454441427722,0.00295607584787594,0.143622506372329,0.00425894870112643
0.141152671622634,0.00314924127010756,0.145679510074049,0.0045113570614782
0.142849204801927,0.00334843858103542,0.147727538493781,0.00477077077207356
0.144544177087067,0.00355367180935511,0.149767212889075,0.00503719993023846
0.146237715589685,0.00376494535813026,0.151799099172966,0.00531065456228431
0.147929939086999,0.00398226395929633,0.15382371412664,0.00559114460793257
0.149620958634834,0.00420563263231269,0.155841530752881,0.00587867990526022
0.15131087812509,0.00443505664651952,0.157852982910592,0.00617327017630592
0.152999794793652,0.00467054148681153,0.159858469344448,0.00647492501341965
0.154687799683965,0.0049120928222866,0.161858357203015,0.00678365386639688
0.156374978070897,0.0051597164775695,0.163852985122142,0.00709946603041017
0.158061409848918,0.0054134184065449,0.165842665937194,0.0074223706347321
0.159747169888187,0.00567320466826516,0.167827689077056,0.00775237663222912
0.161432328361692,0.00593908140482451,0.169808322684111,0.00808949278959906
0.163116951046255,0.00621105482101473,0.171784815497407,0.00843372767831779
0.164801099599871,0.00648913116559719,0.173757398530343,0.00878508966625948
0.166484831817622,0.00677331671404439,0.175726286569504,0.0091435869099521
0.16816820186811,0.00706361775261906,0.177691679517246,0.00950922734743037
0.169851260512195,0.00736004056367332,0.17965376359738,0.00988201869164922
0.171534055305608,0.00766259141206169,0.181612712440539,0.0102619684244215
0.173216630786853,0.00797127653257292,0.183568688063463,0.0106490837908448
0.17489902865168,0.0082861021182951,0.185521841754563,0.0110433717941862
0.176581287915258,0.00860707430983621,0.187472314876381,0.0114448391911915
0.178263445063095,0.00893419918533091,0.189420239594251,0.0118534924877921
0.179945534191636,0.00926748275116962,0.191365739539216,0.0122693379351812
0.181627587139362,0.00960693093339315,0.193308930412256,0.0126923815262331
0.183309633609186,0.00995254956970031,0.195249920536018,0.0131226289922437
0.1849917012828,0.0103043444020216,0.197188811359462,0.0135600857999686
0.186673815927639,0.010662321069616,0.199125697920219,0.0140047571489382
0.188356001496998,0.0110264851026507,0.201060669268866,0.014456647969032
0.190038280223855,0.0113968419162293,0.202993808858868,0.0149157629182939
0.191720672708845,0.0117733968048349,0.204925194905473,0.0153821063809707
0.193403198002842,0.0121561549371579,0.206854900716534,0.0158556824657615
0.195085873684528,0.0125451213512822,0.208782994997842,0.0163364950042606
0.196768715933323,0.0129403009502038,0.210709542135334,0.0168245475495839
0.198451739597996,0.0133416984976578,0.212634602456247,0.0173198433751642
0.200134958261277,0.0137493186142354,0.214558232471101,0.0178223854737068
0.201818384300732,0.0141631657737682,0.216480485098181,0.0183321765562917
0.203502028946173,0.0145832442999641,0.218401409872027,0.0188492190516159
0.20518590233383,0.0150095583632766,0.220321053137298,0.0193735151053658
0.206870013557504,0.0154421119779938,0.222239458229214,0.01990506657971
0.208554370716908,0.0158809089995313,0.224156665641714,0.0204438750529069
0.210238980963374,0.0163259531219176,0.226072713184297,0.0209899418190191
0.211923850543097,0.0167772478754585,0.227987636128474,0.0215432678877274
0.213608984838085,0.0172347966245702,0.229901467344641,0.022103853984239
0.215294388404946,0.0176986025657701,0.231814237430129,0.022671700549284
0.216980065011656,0.0181686687258162,0.233725974829099,0.023246807739195
0.21866601767244,0.0186449979599863,0.235636705944915,0.0238291754260634
0.220352248680863,0.0191275929504875,0.237546455245542,0.0244188031979704
0.222038759641267,0.0196164562049897,0.239455245362501,0.0250156903592862
