scenario,Tl,Tc,Ingresos,Tr,G,rB,Gastos,PB,B,BB
BASE,0.0519000000000002,0.0922568276857457,0.144156827685746,0.0194238,0.05,0.0747330276857458,0.144156827685746,0.0747330276857458,2.13566464042988,0
COVID,0.0441150000000001,0.0731765560682154,0.117291556068216,0.01456785,0.05,0.0527237060682156,0.117291556068216,0.0527237060682156,1.9042007535606,0
