scenario,Tl,Tc,Rev_total,Transfers,G,rB,Primary,B_stock,Global
BASE,0.0518999999999999,0.0924881166763767,0.144388116676377,0.0194238,0.0474038644803793,0.0775604521959973,0.0775604521959973,1.16762540787294,0
TRANSF_UP,0.0518999999999999,0.0930062825564682,0.144906282556468,0.02233737,0.0445908181624071,0.0779780943940609,0.0779780943940609,1.16762540787294,0
