scenario,r,Tl,Tc,Tr,G,PB,BB,popI,popF,Ctot,Y
BASE,0.003,0.0518999999999999,0.0793460300814436,0.0194238,0.111224966292471,0.000597263788972527,-2.7362110274732e-06,0.654000000000001,0.345999999999999,0.440829215616946,0.56182
TRANSF_UP,0.003,0.0518999999999999,0.0890545984336728,0.0291357,0.111224966292471,0.000593932141201681,-6.06785879831936e-06,0.654000000000001,0.346,0.440141942907178,0.56182
