scenario,r,popI,popF,Y,Ctot,giniW_I,giniW_F,giniW_T,giniC_I,giniC_F,giniC_T,S_excess
BASE,0.0664258003234864,0.654000000000001,0.346,0.56182,0.513822870424315,0.310567980032908,0.231261048417813,0.298283343706779,0.115689131502962,0.078365099601103,0.169727157987672,5.72708280355272e-07
TRANSF_UP,0.0667834854125977,0.654000000000001,0.346,0.56182,0.516701569758157,0.308917292564337,0.231206030789968,0.297057723550511,0.114184675092619,0.077477413529411,0.167524845658944,7.07539428868031e-06
