scenario,theta,r,popI,popF,Y,Ctot,Tl,Tc,Tr,G,B,PB,rB,BB,GiniW_T,GiniC_T,p11_rep
theta_low,0.01,0.0350868988037109,0.653999999999999,0.346000000000001,0.56182,0.512663577778135,0.0519000000000001,0.0922794440000643,0.0194238,0.05,2.13058567581806,0.0747556440000644,0.0747556440000644,0,0.404339262939974,0.135243772463622,0.897715394612037
theta_mid,0.02,0.0349928665161133,0.653999999999999,0.346000000000001,0.56182,0.512537931791397,0.0519000000000001,0.0922568277224515,0.0194238,0.05,2.13566464147883,0.0747330277224516,0.0747330277224516,0,0.402749487655616,0.135041317778201,0.897715394612037
theta_high,0.05,0.0347250747680664,0.653999999999999,0.346000000000001,0.561820000000001,0.51219560968046,0.0519000000000001,0.0921952097424829,0.0194238,0.05,2.15035994137446,0.074671409742483,0.074671409742483,0,0.398091443186346,0.13444483628496,0.897715394612037
