scenario,y_shock,phi,r,popI,popF,Y,Ctot,Tl,Tc,Tr,G,B,PB,rB,BB,GiniW_T,GiniC_T,p11_rep,Tr_over_Y,B_over_Y
phi_fixed,0.85,0.09,0.0307532119750977,0.653999999999999,0.346000000000001,0.477547,0.42821466696991,0.0441150000000001,0.0770786400545838,0.01651023,0.05,1.77813654387918,0.0546834100545839,0.0546834100545839,0,0.439046700813877,0.133115923901219,0.897715394612037,0.0345729949094015,3.72347966562281
phi_013,0.85,0.13,0.0286276626586914,0.654,0.346000000000001,0.477547000000001,0.427391117298859,0.0441150000000001,0.0769304011137946,0.02384811,0.05,1.64866030721741,0.0471972911137947,0.0471972911137947,0,0.444433728469762,0.126138470207907,0.897715394612037,0.0499387704246911,3.45235193021297
phi_015,0.85,0.15,0.0278412628173828,0.653999999999999,0.346000000000001,0.477547000000001,0.427379553381306,0.0441150000000001,0.0769283196086351,0.02751705,0.05,1.56337267796127,0.0435262696086352,0.0435262696086352,0,0.453813794671613,0.124435211182959,0.897715394612037,0.0576216581823358,3.27375667308404
