scenario,r,popI,popF,Y,Ctot,Tl,Tc,Tr,G,B,PB,rB,BB,GiniW_T,GiniC_T,p11_rep
eta_low,0.0523039627075195,0.25,0.750000000000001,0.8325,0.782504304466726,0.1125,0.140850774804011,0.00742499999999999,0.05,3.74590690001091,0.195925774804011,0.195925774804011,0,0.15978749328847,0.0651295924096599,0.542340323875
eta_high,0.0304417419433594,0.75,0.250000000000001,0.497500000000001,0.44920837083237,0.0375000000000002,0.0808575067498265,0.022275,0.05,1.51379335767214,0.0460825067498267,0.0460825067498267,0,0.520747786889281,0.161271772962243,0.934274843572651
