scenario,phi,r,popI,popF,Y,Ctot,Tl,Tc,Tr,G,B,PB,rB,BB,GiniW_T,GiniC_T,p11_rep
phi_low,0.05,0.0375492858886719,0.653999999999999,0.346000000000001,0.561820000000001,0.514000678037985,0.0519000000000001,0.0925201220468373,0.010791,0.05,2.22718275641208,0.0836291220468374,0.0836291220468374,0,0.399453734860109,0.14146021594265,0.897715394612037
phi_mid,0.09,0.0349928665161133,0.653999999999999,0.346000000000001,0.56182,0.512537931791397,0.0519000000000001,0.0922568277224515,0.0194238,0.05,2.13566464147883,0.0747330277224516,0.0747330277224516,0,0.402749487655616,0.135041317778201,0.897715394612037
phi_high,0.13,0.0327217864990234,0.653999999999999,0.346000000000001,0.56182,0.511691067277206,0.0519000000000001,0.0921043921098971,0.0280566,0.05,2.01540927821485,0.0659477921098972,0.0659477921098972,0,0.410654553810447,0.127926940005604,0.897715394612037
