scenario,tau_c,r,popI,popF,Y,Ctot,Tl,Tc,Tr,G,B,PB,rB,BB,GiniW_T,GiniC_T,p11_rep
tauc_low,0.1,0.0213970947265625,0.653999999999999,0.346000000000001,0.561820000000001,0.511607818227415,0.0519000000000002,0.0511607818227415,0.0194238,0.05,1.57203500066691,0.0336369818227417,0.0336369818227417,0,0.468922193812532,0.132868924213303,0.897715394612037
tauc_mid,0.18,0.0349928665161133,0.653999999999999,0.346000000000001,0.56182,0.512537931791397,0.0519000000000001,0.0922568277224515,0.0194238,0.05,2.13566464147883,0.0747330277224516,0.0747330277224516,0,0.402749487655616,0.135041317778201,0.897715394612037
tauc_high,0.26,0.0446896362304687,0.653999999999999,0.346000000000001,0.561820000000001,0.513769802074531,0.0519000000000001,0.133580148539378,0.0194238,0.05,2.59694099859897,0.116056348539378,0.116056348539378,0,0.345307060068125,0.136839076828149,0.897715394612037
