scenario,y_shock_I,y_shock_F,phi,r,Y,Ctot,B,Tl,Tc,Tr,rB,GiniW,GiniC,fracBorrow_I,fracBorrow_F,debt_I,debt_F,dY_pct,dC_pct,dB_pct,drB_pct
pre,1,1,0.09,0.0349928665161133,0.56182,0.512537931791397,2.13566464147883,0.0519000000000001,0.0922568277224515,0.0194238,0.0747330277224516,0.402749487655616,0.135041317778201,0.150065020707111,0.00839135203420477,-0.00894267873741503,-0.000147393108019417,0,0,0,0
covid_fixed,0.75,0.85,0.09,0.0277746963500977,0.455965000000001,0.406456286324757,1.89774465484916,0.0441150000000001,0.0731621315384563,0.01456785,0.0527092815384564,0.424676034601646,0.145343027408989,0.159016460083926,0.00919964886168914,-0.00928178699237046,-0.000159835119232046,-18.8414438788224,-20.6973257756492,-11.1403252181448,-29.4698968517487
covid_phi013,0.75,0.85,0.13,0.0257996368408203,0.455965000000001,0.405820371087223,1.78763046473308,0.0441150000000001,0.0730476667957002,0.02104245,0.0461202167957003,0.431027818727814,0.139347056979222,0.148525733846975,0.00793927347235689,-0.0079394235648036,-0.000131637590673627,-18.8414438788223,-20.8213976146468,-16.2962934341957,-38.2867010728048
covid_phi015,0.75,0.85,0.15,0.025018196105957,0.455965,0.405810400318556,1.71399735919129,0.0441150000000001,0.07304587205734,0.02427975,0.0428811220573401,0.439561944638698,0.137505356299107,0.158520642493223,0.00863556631461184,-0.00849365799246106,-0.000143370585777963,-18.8414438788224,-20.8233429865011,-19.7440775156328,-42.6209222827224
