scenario,tau_l,r,popI,popF,Y,Ctot,Tl,Tc,Tr,G,B,PB,rB,BB,GiniW_T,GiniC_T,p11_rep
tau_low,0.1,0.028980712890625,0.653999999999999,0.346000000000001,0.561820000000001,0.512702074353782,0.0346000000000001,0.0922863733836808,0.0194238,0.05,1.98278674512073,0.0574625733836809,0.0574625733836809,0,0.429692710206846,0.143409868576304,0.897715394612037
tau_high,0.25,0.043862419128418,0.653999999999999,0.346000000000001,0.56182,0.512257615265944,0.0865000000000001,0.0922063707478698,0.0194238,0.05,2.49148526048959,0.10928257074787,0.10928257074787,-1.38777878078145e-17,0.342860503043303,0.118571970457149,0.897715394612037
