scenario,eta_target,r,B,A_priv,eta_real,Y,C,G,PB,BB,giniW_I,giniW_F,giniW_T,giniC_T
Current policy,0.654,0.005,0.196637,0.345182485595624,0.654000000000001,0.56182,0.441843071182446,0.0449456,0.0670623528128401,0.0660791678128401,0.562881457843625,0.311378757752384,0.494149812644494,0.164819423171265
No fiscal policy,0.654,0.005,0,0.783983713465204,0.653999999999999,0.561820000000001,0.558329518214264,0,0,0,0.517052913433742,0.270190849382369,0.453917213788722,0.196748516814277
