scenario,eta_target,r,B,A_priv,eta_real,Y,C,G,PB,BB,giniW_I,giniW_F,giniW_T,giniC_T
BASE,0.654,0.005,0.196637,0.345391149865139,0.654000000000001,0.561819999999999,0.441844105670984,0.0449455999999999,0.0670625390207769,0.0660793540207769,0.562919431086586,0.311464492415597,0.494196331776474,0.164803472824931
LOW INF,0.25,0.00890625,0.291375,0.290892511121621,0.250000000000001,0.832499999999999,0.616408513677675,0.0665999999999999,0.149428532461981,0.146833473868231,0.346810556674797,0.196472139976597,0.244216870630794,0.078396395146956
HIGH INF,0.75,0.006470947265625,0.174125,0.174134613286695,0.75,0.4975,0.398539058183385,0.0397951416015625,0.0471668888714467,0.0460401351788198,0.630296806522838,0.334726648866854,0.574490598789601,0.188225584260956
