scenario,Tl,Tc,Tr,G,rB,PB,B,BB
SHOCK_NoTrans,0.0467099999999999,0.0785576692834681,0,0.0467270929125132,0.0785405763709549,0.0785405763709549,1.22639943318177,0
SHOCK_TransUp,0.0467099999999999,0.0821384671376704,0.0194238,0.0272156620117532,0.0822090051259171,0.0822090051259171,1.22639943318177,0
