scenario,r,popI,popF,Y,Ctot,giniW_I,giniW_F,giniW_T,giniC_I,giniC_F,giniC_T
SHOCK_NoTrans,0.0640415954589844,0.654,0.346,0.484056,0.436431496019267,0.310555161907006,0.225072420485411,0.294921283040352,0.138490877536593,0.0906050163067895,0.202387662433248
SHOCK_TransUp,0.0670328140258789,0.654000000000001,0.345999999999999,0.484056,0.456324817431502,0.300911068544709,0.225512283928709,0.287736439559262,0.12606925499546,0.0838881273221546,0.184858735826372
