scenario,Tl,Tc,TcI,TcF,Tr,G,rB,PB,B,BB
VAT_18,0.0518999999999998,0.056028175780455,0.0195577227417475,0.0364704530387075,0.0194238,0.0794747446335631,0.00902450807617185,0.00902963114689163,0.449455999999999,5.12307071977997e-06
VAT_20,0.0518999999999999,0.0615163477543299,0.021547592750784,0.0399687550035459,0.0194238,0.0846000539043642,0.0093900477001953,0.0093924938499655,0.449456,2.44614977019941e-06
VAT_22,0.0518999999999998,0.0668774730512167,0.0235043927305624,0.0433730803206542,0.0194238,0.0896061692807595,0.00974632881591795,0.00974750377045695,0.449455999999999,1.17495453900301e-06
VAT_26,0.0518999999999999,0.0772372347832375,0.0273222793815348,0.0499149554017028,0.0194238,0.0992800698739798,0.0104330015148926,0.0104333649092576,0.449455999999999,3.63394365062927e-07
