scenario,policy_val,r,Y,C,G,PB,BB,giniW_T,giniC_T,eta_real
\tau_\ell=0.12,0.12,0.00788848876953125,0.56182,0.452734852926669,0.100039692941047,0.00354878058575313,3.25197735469166e-06,0.486668663623876,0.168587819821015,0.654000000000001
\tau_\ell=0.15,0.15,0.01310546875,0.561819999999999,0.446213773923032,0.106904347743646,0.00589033156249998,-1.21430643318376e-17,0.477971475272189,0.163446995265051,0.654000000000001
\tau_\ell=0.18,0.18,0.0175,0.561819999999999,0.43911443561919,0.114031318411454,0.00786547999999997,-1.90819582357449e-17,0.470512482998988,0.158335417855935,0.654000000000001
\tau_\ell=0.22,0.22,0.0250340270996094,0.561819999999999,0.431015451264283,0.123025377845445,0.0112536033821252,1.90969804316279e-06,0.453788819938229,0.150630365016783,0.654000000000001
