scenario,Tl,Tc,Tr,G,rB,PB,B,BB
LAB_12,0.0415199999999999,0.0814922735268005,0.0194238,0.100039692941047,0.00354552860839844,0.00354878058575313,0.449456,3.25197735469166e-06
LAB_15,0.0518999999999998,0.0803184793061458,0.0194238,0.106904347743646,0.00589033156249999,0.00589033156249998,0.449455999999999,-1.21430643318376e-17
LAB_18,0.0622799999999998,0.0790405984114541,0.0194238,0.114031318411454,0.00786547999999999,0.00786547999999997,0.449455999999999,-1.90819582357449e-17
LAB_22,0.0761199999999997,0.0775827812275709,0.0194238,0.123025377845445,0.011251693684082,0.0112536033821252,0.449455999999999,1.90969804316279e-06
