scenario,r,popI,popF,Y,C,wmean_I,wmean_F,wmean_T,giniW_I,giniW_F,giniW_T,cmean_I,cmean_F,cmean_T,giniC_I,giniC_F,giniC_T,p11_rep
VAT_18,0.0200787353515625,0.654000000000001,0.345999999999998,0.561819999999999,0.474248666072646,0.145468553664217,1.02405238830513,0.449458560449973,0.516674987561417,0.303109895593795,0.460360745737864,0.415344094923281,0.585588520210463,0.984876936228701,0.141221424039464,0.068795042646878,0.148190894874064,0.897715394612037
VAT_20,0.0208920288085937,0.654000000000001,0.345999999999999,0.56182,0.46918868440253,0.147780509247,1.01968586547892,0.449459762503242,0.514311957488825,0.302578318464248,0.458578002043054,0.411842369089908,0.577583164791127,0.973803029463077,0.140455322991593,0.0685907487336472,0.146831370170156,0.897715394612037
VAT_22,0.0216847229003906,0.654000000000001,0.345999999999999,0.561819999999999,0.464245737032092,0.150046122982225,1.01539184248608,0.449455741930558,0.511969037448967,0.30203867734886,0.456807675939847,0.408402709385641,0.569798743045906,0.962994789763816,0.13970062637072,0.0683881562476182,0.145503894063778,0.897715394612037
VAT_26,0.0232125091552734,0.654,0.345999999999999,0.561819999999999,0.454694822521306,0.154461037563611,1.00703402835583,0.449451292377718,0.507337557016951,0.300935880684181,0.453300308360747,0.401703707679586,0.554857218782825,0.942137287716174,0.138223732502281,0.0679885790797201,0.142940374023916,0.897715394612037
