scenario,A_I,A_F,A_priv,B_public
VAT_18,0.0951364340963975,0.354322126353573,0.449458560449971,0.449455999999999
VAT_20,0.0966484530475378,0.352811309455703,0.44945976250324,0.449456
VAT_22,0.0981301644303746,0.351325577500181,0.449455741930556,0.449455999999999
VAT_26,0.101017518566601,0.348433773811115,0.449451292377716,0.449455999999999
