scenario,policy_val,r,Y,C,G,PB,BB,giniW_T,giniC_T,eta_real
\tau_c=0.18,0.18,0.0200787353515625,0.561819999999999,0.474248666072646,0.0794747446335631,0.00902963114689163,5.12307071977997e-06,0.460360745737864,0.148190894874064,0.654000000000001
\tau_c=0.20,0.2,0.0208920288085937,0.56182,0.46918868440253,0.0846000539043642,0.0093924938499655,2.44614977019941e-06,0.458578002043054,0.146831370170156,0.654000000000001
\tau_c=0.22,0.22,0.0216847229003906,0.561819999999999,0.464245737032092,0.0896061692807595,0.00974750377045695,1.17495453900301e-06,0.456807675939847,0.145503894063778,0.654000000000001
\tau_c=0.26,0.26,0.0232125091552734,0.561819999999999,0.454694822521306,0.0992800698739798,0.0104333649092576,3.63394365062927e-07,0.453300308360747,0.142940374023916,0.654000000000001
