eta,r,popI,popF,Y,Btarget
0.4,0.0310004043579102,0.399999999999999,0.600000000000001,0.732000000000001,2.14183623985417
0.45,0.0310002136230469,0.449999999999999,0.550000000000001,0.6985,1.75408500635321
0.5,0.0310002136230469,0.499999999999999,0.500000000000001,0.665000000000001,1.36127362341242
0.55,0.0310002136230469,0.549999999999999,0.450000000000001,0.6315,0.964530375121273
0.6,0.0310002136230469,0.599999999999999,0.400000000000001,0.598000000000001,0.564512617141407
0.65,0.0310002136230469,0.649999999999999,0.350000000000001,0.564500000000001,0.161538543535842
0.7,0.0310002136230469,0.699999999999999,0.300000000000001,0.531,-0.244318609203851
0.75,0.0310002136230469,0.749999999999999,0.250000000000001,0.4975,-0.653174473484093
0.8,0.0310002136230469,0.8,0.2,0.464,-1.06530174997121
