scenario,fracBorrow_I,fracBorrow_F,fracLend_I,fracLend_F,volBorrow_I,volBorrow_F,volLend_I,volLend_F
BASE,0.587460088925574,0.157389635868242,0.412539911074425,0.842610364131757,-0.179554239567939,-0.0156093220059374,0.197286848412034,0.343267863026983
VAT_UP,0.587460544417162,0.157389758823776,0.412539455582838,0.842610241176224,-0.179554379188278,-0.0156093342131789,0.19728557529774,0.343266520983357
LABTAX_UP,0.631679061424306,0.190126929882759,0.368320938575695,0.809873070117241,-0.193728677981434,-0.0189214774894066,0.148719872254582,0.276135758477341
