scenario,r,popI,popF,Y,Ctot,wealth_mean_I,wealth_mean_F,wealth_mean_T,wealth_med_I,wealth_med_F,wealth_med_T,giniW_I,giniW_F,giniW_T,cons_mean_I,cons_mean_F,cons_mean_T,cons_med_I,cons_med_F,cons_med_T,giniC_I,giniC_F,giniC_T,p11_rep
BASE,0.005,0.654000000000001,0.345999999999999,0.561819999999999,0.441844105670984,0.0271140808013691,0.946990002951,0.345391149865141,-0.167811158798283,0.884635193133047,0.151587982832618,0.562919431086586,0.311464492415597,0.494196331776474,0.376698820185884,0.564979992108137,0.925817002125301,0.366377472994651,0.567832517181127,0.438506866334067,0.15440680118632,0.0656987037619947,0.164803472824931,0.897715394612037
VAT_UP,0.005,0.654000000000001,0.345999999999999,0.56182,0.427357393803839,0.0271119206566694,0.946986088931152,0.34538838287964,-0.167811158798283,0.884635193133047,0.151587982832618,0.562918927512352,0.311463356107406,0.494195714969411,0.364347865892724,0.546456328063576,0.895462177033481,0.354365097054696,0.549215070181958,0.424129592455588,0.154406637336767,0.0656992105902756,0.164803671173881,0.897715394612037
LABTAX_UP,0.005,0.654000000000001,0.345999999999999,0.561819999999999,0.425954063068262,-0.0688208038636886,0.743393875687675,0.212205475261083,-0.241115879828326,0.690901287553648,0.0468669527896995,0.56994640737995,0.311855826683393,0.498611847158572,0.365472988490471,0.540273782067901,0.892118078832737,0.357545197096472,0.543737202323585,0.421430810293537,0.151891169622912,0.0617342355476782,0.159741962466971,0.897715394612037
