scenario,A_I,A_F,A_private,B_public
BASE,0.0177326088440953,0.327658541021044,0.345391149865139,0.196637
VAT_UP,0.0177311961094618,0.327657186770177,0.345388382879638,0.196637
LABTAX_UP,-0.0450088057268522,0.257214280987934,0.212205475261081,0.196637
