scenario,eta_target,r,B,A_priv,eta_real,Y,C,G,PB,BB,giniW_I,giniW_F,giniW_T,giniC_T
BASE,0.654,0.01310546875,0.449455999999999,0.449443921199237,0.654000000000001,0.561819999999999,0.446213773923032,0.106904347743646,0.00589033156249999,-2.60208521396521e-18,0.540381530510664,0.308242244694935,0.477971475272189,0.163446995265053
LOW INF,0.25,0.0383056640625,0.666,0.665978714560223,0.250000000000001,0.8325,0.636874277773752,0.19420079773365,0.025511572265625,1.04083408558608e-17,0.312516786557135,0.205447038468254,0.239522049894919,0.0751501444472915
HIGH INF,0.75,0.0233547973632812,0.398,0.39800675933159,0.75,0.4975,0.408019389685637,0.0793721072580034,0.00929638288541125,1.17353482531092e-06,0.558103887835271,0.31497826413692,0.516769162034081,0.177465791563344
