eta,r,PopI,PopF,Y,Ctot,Tl,Tc,Tr,G,PB,B,rB,BB,Tl_Y,Tc_Y,Tr_Y,G_Y,PB_Y,B_Y,rB_Y
0.2,0.0433830070495605,0.199999999999999,0.800000000000001,0.866000000000001,0.795998507004956,0.12,0.0795998507004956,0.00989999999999997,0.07,0.119699850700496,2.75914139754654,0.119699850700496,1.38777878078145e-17,0.138568129330254,0.0919166867211265,0.0114318706697459,0.0808314087759815,0.138221536605653,3.18607551679738,0.138221536605653
0.3,0.0356706036295509,0.299999999999999,0.700000000000001,0.799000000000001,0.728993801795509,0.105,0.0728993801795509,0.01485,0.07,0.0930493801795511,2.60857318664676,0.0930493801795511,0,0.131414267834794,0.0912382730657707,0.0185857321652064,0.0876095118898623,0.116457296845496,3.26479748015865,0.116457296845496
0.4,0.0356705015245825,0.399999999999999,0.600000000000001,0.732000000000001,0.692899972673368,0.0900000000000002,0.0692899972673368,0.0198,0.07,0.069489997267337,1.94810822100294,0.069489997267337,0,0.122950819672131,0.0946584662122087,0.0270491803278688,0.0956284153005464,0.0949316902559248,2.66135002869254,0.0949316902559248
0.5,0.0356705015245825,0.499999999999999,0.500000000000001,0.665,0.648099019585922,0.0750000000000001,0.0648099019585922,0.02475,0.07,0.0450599019585923,1.26322591588848,0.0450599019585923,0,0.112781954887218,0.0974584991858528,0.0372180451127819,0.105263157894737,0.0677592510655523,1.89958784344133,0.0677592510655523
0.6,0.0356705015245825,0.599999999999999,0.4,0.598,0.598908257302245,0.06,0.0598908257302245,0.0297,0.07,0.0201908257302246,0.566037057715883,0.0201908257302246,0,0.100334448160535,0.100151882492014,0.0496655518394648,0.117056856187291,0.0337639226257936,0.946550263738935,0.0337639226257936
0.64,0.0356705015245825,0.639999999999999,0.360000000000001,0.5712,0.578222984014202,0.0540000000000001,0.0578222984014202,0.03168,0.07,0.0101422984014203,0.284332935280732,0.0101422984014203,0,0.0945378151260505,0.101229514008089,0.0554621848739495,0.122549019607843,0.0177561246523465,0.497781749441056,0.0177561246523465
0.7,0.0356705015245825,0.7,0.300000000000001,0.531,0.546035686187149,0.0450000000000001,0.0546035686187149,0.03465,0.07,-0.00504643138128498,-0.141473519171218,-0.00504643138128498,0,0.0847457627118645,0.102831579319614,0.0652542372881355,0.131826741996233,-0.00950363725289073,-0.266428473015476,-0.00950363725289073
0.8,0.0356705015245825,0.799999999999999,0.2,0.464,0.488421662201647,0.0300000000000001,0.0488421662201647,0.0396,0.07,-0.0307578337798352,-0.862276459966178,-0.0307578337798352,0,0.0646551724137932,0.105263289267596,0.0853448275862068,0.150862068965517,-0.0662884348703344,-1.85835443958228,-0.0662884348703344
0.9,0.0356705015245825,0.9,0.1,0.397,0.422682728997986,0.015,0.0422682728997986,0.04455,0.07,-0.0572817271002013,-1.60585707102339,-0.0572817271002013,0,0.0377833753148615,0.106469201258939,0.112216624685138,0.17632241813602,-0.144286466247358,-4.04498002776672,-0.144286466247358
