scenario,r,popI,popF,Y,Ctot,w_mean_I,w_mean_F,w_mean_T,gini_I,gini_F,gini_T,c_mean_I,c_mean_F,c_mean_T,fracBorrow_I,fracBorrow_F,volBorrow_I,volBorrow_F,volLend_I,volLend_F,Tl,Tc,Tr,G,B,rB,PB,BB
BASE,0.0284230041503906,0.74,0.260000000000001,0.504200000000001,0.453797513152721,0.84202892749393,2.02157057998931,1.14870975714273,0.619194301765858,0.368887522593012,0.562514040612144,0.409465099505139,0.579974382765066,0.97523546830412,0.330383863427057,0.0179133412398846,-0.0212176115212993,-0.000230303527908229,0.644319017866807,0.525838654325131,0.0390000000000001,0.0680696269729081,0.02442,0.05,1.14870429600453,0.0326496269729082,0.0326496269729082,0
COVID,0.0126175689697266,0.74,0.260000000000001,0.404150000000001,0.353743158854693,0.441901701193656,1.40616528788821,0.692610233734242,0.688632747637656,0.37907631262019,0.618455768570545,0.31192041838479,0.4727771124998,0.783086971027224,0.442609834661071,0.0223390665461308,-0.0218612253545426,-0.000213368528325453,0.348868484237848,0.365816343379262,0.0331500000000001,0.053061473828204,0.0274725,0.0500000000000001,0.692603610820084,0.00873897382820406,0.00873897382820406,0
