scenario,r,popI,Y,Ctot,Tl,Tc,Tr,G,B,rB,PB,BB,gapBudget,giniTot
BASE,0.005,0.639999999999999,0.571200000000001,0.504207401393354,0.0540000000000001,0.0504207401393354,0.03168,0.07,0.22848,0.0011424,0.00274074013933559,0.00159834013933559,0.00159834013933559,0.497455334716614
COVID,0.005,0.639999999999999,0.4644,0.421430527146893,0.0459000000000001,0.0421430527146893,0.0395999999999999,0.07,0.18576,0.000928800000000001,-0.0215569472853105,-0.0224857472853105,-0.0224857472853105,0.492073591505664
