a,c_informal,c_formal,sflow_informal,sflow_formal
2.68028326180257,0.557200914866681,0.604473294160769,-0.206618173735323,0.21188220904118
2.68757796852647,0.557497290925822,0.604745458587584,-0.206871240333139,0.211655775238922
2.69487267525036,0.557793344552693,0.605017508684343,-0.207123952255458,0.211429467199726
2.70216738197425,0.55808907737086,0.605289446792419,-0.207376311288203,0.211203282348082
2.70946208869814,0.558384490996937,0.605561275267205,-0.207628319209649,0.210977218093056
2.71675679542203,0.55867958704078,0.605832996478606,-0.207879977790638,0.210751271827754
2.72405150214592,0.558974367105617,0.606104612811202,-0.208131288794719,0.210525440929137
2.73134620886981,0.559268832788129,0.606376126664773,-0.208382253978244,0.210299722757448
2.73864091559371,0.559562985678582,0.606647540454488,-0.208632875090503,0.210074114656
2.7459356223176,0.559856827360957,0.606918856611222,-0.208883153873876,0.209848613950832
2.75323032904149,0.560150359413003,0.607190077582124,-0.209133092063889,0.209623217950079
2.76052503576538,0.560443583406408,0.607461205830695,-0.209382691389395,0.209397923943889
2.76781974248927,0.560736500906947,0.607732243837312,-0.20963195357275,0.20917272920385
2.77511444921316,0.561029113474505,0.608003194099573,-0.209880880329824,0.208947630982601
2.78240915593705,0.561321422663246,0.608274059132591,-0.2101294733702,0.20872262651352
2.78970386266094,0.561613430021683,0.608544841469372,-0.210377734397242,0.2084977130103
2.79699856938484,0.56190513709286,0.608815543661365,-0.210625665108297,0.208272887666347
2.80429327610873,0.562196545414414,0.60908616827854,-0.210873267194768,0.208048147654693
2.81158798283262,0.562487656518682,0.609356717910075,-0.211120542342224,0.207823490127243
2.81888268955651,0.562778471932844,0.6096271951645,-0.211367492230563,0.207598912214615
2.8261773962804,0.563068993178981,0.609897602670307,-0.211614118534076,0.207374411025467
2.83347210300429,0.563359221774283,0.610167943076181,-0.211860422921668,0.207149983646243
2.84076680972818,0.563649159231045,0.610438219051521,-0.212106407056868,0.206925627140609
2.84806151645207,0.563938807056852,0.610708433286803,-0.212352072598016,0.206701338549037
