eta,r,popI,popF,Y
0.4,0.01,0.399999999999999,0.600000000000001,0.732000000000001
0.45,0.01,0.449999999999999,0.550000000000001,0.6985
0.5,0.01,0.499999999999999,0.500000000000001,0.665000000000001
0.55,0.01,0.549999999999999,0.450000000000001,0.631500000000001
0.6,0.01,0.6,0.400000000000001,0.598000000000001
0.65,0.01,0.649999999999999,0.350000000000001,0.564500000000001
0.7,0.01,0.699999999999999,0.300000000000001,0.531000000000001
0.75,0.01,0.749999999999999,0.250000000000001,0.4975
0.8,0.01,0.8,0.2,0.464
