eta,sI,sF,r,gmean_inf,gmean_for,gmed_inf,gmed_for,gmean_tot,gmed_tot,gini_tot,p11
0.64,3.15,5.3,0.01,31.5418244484752,104.03234656735,0.0323047210300429,0.666944206008584,57.6384124112701,0.251145922746781,0.692609161035744,0.891612155223146
0.64,3.26944444444444,5.3,0.01,37.5426257500497,115.16837532488,0.061483547925608,0.739891273247496,65.4878955969886,0.294914163090129,0.669616886535946,0.891612155223146
0.64,3.38888888888889,5.3,0.01,43.8639834791399,126.538416982919,0.0979570815450644,0.812838340486409,73.6267795405003,0.345977110157368,0.649743822459309,0.891612155223146
0.64,3.50833333333333,5.3,0.01,50.5010523541619,138.138529355732,0.134430615164521,0.893080114449213,82.0505440747274,0.397040057224607,0.632260854582144,0.891612155223146
0.64,3.62777777777778,5.3,0.01,57.4486971122205,149.964117218375,0.170904148783977,0.966027181688126,90.7542483504361,0.455397711015737,0.616656600255862,0.891612155223146
0.64,3.74722222222222,5.3,0.01,64.6998440214397,162.007766978114,0.214672389127325,1.04626895565093,99.7306962858426,0.506460658082976,0.602555863367707,0.891612155223146
0.64,3.86666666666667,5.3,0.01,72.2417997480645,174.254181050413,0.258440629470672,1.13380543633763,108.96625701691,0.572113018597997,0.589666984179775,0.891612155223146
0.64,3.98611111111111,5.3,0.01,80.0525434198673,186.67526545903,0.309503576537911,1.21404721030043,118.436723353966,0.630470672389127,0.577750769454221,0.891612155223146
0.64,4.10555555555556,5.3,0.01,88.0991952126004,199.228460299807,0.36056652360515,1.30158369098712,128.105730643995,0.696123032904149,0.566606494895074,0.891612155223146
0.64,4.225,5.3,0.01,96.3391556323167,211.858818305091,0.411629470672389,1.38912017167382,137.926234194516,0.76177539341917,0.556067828820092,0.891612155223146
0.64,4.34444444444444,5.3,0.01,104.723086861697,224.503488049377,0.462692417739628,1.47665665236052,147.844031289262,0.827427753934192,0.54600195436753,0.891612155223146
0.64,4.46388888888889,5.3,0.01,113.19857617589,237.096901190228,0.521050071530758,1.56419313304721,157.801973181052,0.900374821173104,0.536308011480063,0.891612155223146
0.64,4.58333333333333,5.3,0.01,121.713577177328,249.575421421804,0.579407725321888,1.6590243204578,167.74384110534,0.966027181688126,0.526913712831336,0.891612155223146
0.64,4.70277777777778,5.3,0.01,130.219131965707,261.880835001065,0.637765379113019,1.74656080114449,177.617345058436,1.03897424892704,0.517770539723446,0.891612155223146
0.64,4.82222222222222,5.3,0.01,138.67121669522,273.962546217811,0.70341773962804,1.84139198855508,187.376095323353,1.11192131616595,0.508848408289553,0.891612155223146
0.64,4.94166666666667,5.3,0.01,147.031765607445,285.778622946539,0.76177539341917,1.92892846924177,196.980634249519,1.18486838340486,0.500130587572611,0.891612155223146
0.64,5.06111111111111,5.3,0.01,155.269030167611,297.295955763228,0.827427753934192,2.02375965665236,206.398723382034,1.25781545064378,0.491609344588575,0.891612155223146
0.64,5.18055555555556,5.3,0.01,163.357456710029,308.48980953661,0.893080114449213,2.11129613733906,215.605103727598,1.33076251788269,0.483282501462286,0.891612155223146
0.64,5.3,5.3,0.01,171.277251476904,319.343009648942,0.951437768240343,2.19883261802575,224.580924418837,1.4037095851216,0.475150890938157,0.891612155223146
