eta,sI,sF,r,Cmean_inf,Cmean_for,Cmed_inf,Cmed_for,Cmean_tot,Cmed_tot
0.64,3.15,5.3,0.01,55.0431516737599,93.4675538327611,0.390894455967184,0.680856297426785,151.573165124244,0.45157631249874
0.64,3.26944444444444,5.3,0.01,55.6389612604685,92.61131686687,0.396520314927705,0.67460563513359,150.970033652295,0.458135689193707
0.64,3.38888888888889,5.3,0.01,56.2282763947994,91.7745362760297,0.402685368294777,0.66839452020209,150.414089090928,0.464152936204743
0.64,3.50833333333333,5.3,0.01,56.8111858826513,90.9565916703238,0.408083483689764,0.662231311698366,149.898068456105,0.470295348741367
0.64,3.62777777777778,5.3,0.01,57.3877311334767,90.1570909656965,0.412905381920025,0.656471707427106,149.416827932239,0.475988285999211
0.64,3.74722222222222,5.3,0.01,57.9578389063978,89.3758695245267,0.418215986031328,0.650756275809143,148.966471967192,0.481296642733505
0.64,3.86666666666667,5.3,0.01,58.5211441658036,88.6131632358418,0.423025259400331,0.645090294955481,148.543732322514,0.48676408206006
0.64,3.98611111111111,5.3,0.01,59.0768312697198,87.8697671887109,0.428233669360412,0.639477797446325,148.145549430991,0.491894773387928
0.64,4.10555555555556,5.3,0.01,59.6236063428222,87.147034685986,0.433002215711593,0.63424457861431,147.768869594248,0.497177965204619
0.64,4.225,5.3,0.01,60.1598064721199,86.4467150849771,0.437405265877355,0.629059934842797,147.410615607808,0.501733011583569
0.64,4.34444444444444,5.3,0.01,60.6835843242315,85.7707117387476,0.441498487077389,0.623927928014761,147.067754689745,0.506881278384254
0.64,4.46388888888889,5.3,0.01,61.1931011037346,85.1208437851706,0.445956414559587,0.618852573929103,146.737396509064,0.511363736138458
0.64,4.58333333333333,5.3,0.01,61.6866843046329,84.4986625966085,0.450120777723053,0.614140005906307,146.416880019035,0.514867314499865
0.64,4.70277777777778,5.3,0.01,62.1629328861145,83.9053397646797,0.45403003131664,0.609186814057977,146.103831512348,0.516731323038614
0.64,4.82222222222222,5.3,0.01,62.6207706644761,83.341621289163,0.458259264691875,0.604598204161364,145.796191607712,0.518058652117754
0.64,4.94166666666667,5.3,0.01,63.0594578677989,82.8078324612256,0.46172370081781,0.599787730193189,145.492216407028,0.518848724831353
0.64,5.06111111111111,5.3,0.01,63.4785734713034,82.3039159385263,0.465513317753717,0.595346601167355,145.19046044587,0.519157483300536
0.64,5.18055555555556,5.3,0.01,63.8779799795417,81.8294877846432,0.46910790181616,0.590701558228928,144.889748701689,0.519464850808224
0.64,5.3,5.3,0.01,64.2577798585028,81.3839000525224,0.472063640791662,0.586149061592419,144.589143444757,0.51950346010116
