scenario,tau_c,r,A_priv,B,Y,C,TcI,TcF,Tc,Tl,Tr,G,PB,BB,giniW_I,giniW_F,giniW_T,giniC_T,eta_real
\tau_c=0.18,0.18,0.0200787353515625,0.449458560449971,0.449455999999999,0.561819999999999,0.474248666072646,0.0195577227417475,0.0364704530387075,0.056028175780455,0.0518999999999998,0.0194238,0.0794747446335631,0.00902963114689163,5.12307071977997e-06,0.516674987561417,0.303109895593795,0.460360745737864,0.148190894874064,0.654000000000001
\tau_c=0.20,0.2,0.0208920288085937,0.44945976250324,0.449456,0.56182,0.46918868440253,0.021547592750784,0.0399687550035459,0.0615163477543299,0.0518999999999999,0.0194238,0.0846000539043642,0.0093924938499655,2.44614977019941e-06,0.514311957488825,0.302578318464248,0.458578002043054,0.146831370170156,0.654000000000001
\tau_c=0.22,0.22,0.0216847229003906,0.449455741930556,0.449455999999999,0.561819999999999,0.464245737032092,0.0235043927305624,0.0433730803206542,0.0668774730512167,0.0518999999999998,0.0194238,0.0896061692807595,0.00974750377045695,1.17495453900301e-06,0.511969037448967,0.30203867734886,0.456807675939847,0.145503894063778,0.654000000000001
\tau_c=0.26,0.26,0.0232125091552734,0.449451292377716,0.449455999999999,0.561819999999999,0.454694822521306,0.0273222793815348,0.0499149554017028,0.0772372347832375,0.0518999999999999,0.0194238,0.0992800698739798,0.0104333649092576,3.63394365062927e-07,0.507337557016951,0.300935880684181,0.453300308360747,0.142940374023916,0.654000000000001
