tau_c,semi_elast_logC,semi_elast_logY,dr_dtau,dPB_dtau,dTc_dtau,dG_dtau
0.18,-0.829294541028682,5.92835618859327e-14,0.00488281250000007,0.0502267131655194,0.372205244553797,0.321978531388279
0.2,-0.828262614530236,0,0.00638961791992187,0.00291208487033408,0.3662542597334,0.363342174863065
0.22,-0.801609725154626,-1.31741248635406e-14,0.00651041666666664,-0.0130845554301727,0.348843710863462,0.361928266293634
0.26,-0.814786444918539,9.88059364765545e-15,0.00581741333007812,0.00257443856716659,0.343113928838692,0.340539490271526
