scenario,tau_c,r,B,A_priv,eta_real,Y,C,G,Tc,PB,BB,giniW_T,giniC_T,Tl,Tr,rB
\tau_c = 0.18,0.18,0.01310546875,0.449455999999999,0.449443921199237,0.654000000000001,0.561819999999999,0.446213773923032,0.106904347743646,0.0803184793061458,0.00589033156249999,-2.60208521396521e-18,0.477971475272189,0.163446995265053,0.0518999999999999,0.0194238,0.00589033156249999
\tau_c = 0.20,0.2,0.013203125,0.449456,0.449465776372703,0.654000000000001,0.56182,0.438812920986109,0.113343918371411,0.0877625841972218,0.00689486582581038,0.000960642075810378,0.478035423196875,0.163540244939201,0.0518999999999999,0.0194238,0.00593422375
\tau_c = 0.22,0.22,0.0133610534667969,0.449455999999999,0.449454647528178,0.654000000000001,0.561819999999999,0.431675680434008,0.121438034738168,0.0949686496954818,0.00600681495731335,1.60931034070416e-06,0.478150214905798,0.163694956499682,0.0518999999999999,0.0194238,0.00600520564697265
\tau_c = 0.26,0.26,0.01359375,0.449456,0.449365218533651,0.654000000000001,0.56182,0.41805079557319,0.135059614349029,0.10869320684903,0.00610979250000002,2.25514051876985e-17,0.47833444470918,0.163929017697808,0.0518999999999999,0.0194238,0.00610979249999999
