eta_out,sI,sF,r,gmean_inf,gmean_for,gmed_inf,gmed_for,gmean_tot,gmed_tot,gini_inf,gini_for,gini_tot,p11
NaN,3.15,5.3,0.0271960067749023,90.60331287464,175.153168616255,0.41892417739628,1.11921602288984,128.351111458178,0.739891273247496,0.553359201665429,0.367197663060665,0.477011160129393,0.862663047814263
NaN,3.26944444444444,5.3,0.0271958160400391,103.81208923989,191.943646068978,0.513755364806867,1.2359313304721,143.679906949165,0.849311874105866,0.537418827544037,0.361729092098965,0.464500530857523,0.858026071562322
NaN,3.38888888888889,5.3,0.0271958160400391,117.344211806282,208.666574433842,0.608586552217454,1.35264663805436,159.196482681675,0.958732474964235,0.521752958042041,0.355772773461431,0.452070918907967,0.853246227588494
NaN,3.50833333333333,5.3,0.0271958160400391,131.063929667431,225.192350306916,0.710712446351931,1.47665665236052,174.760967665065,1.0754477825465,0.506341335197963,0.349341441619657,0.439702935647313,0.848320100433151
NaN,3.62777777777778,5.3,0.0271958160400391,144.842670190616,241.402931677461,0.812838340486409,1.59337195994278,190.24282746549,1.19216309012876,0.491192089321325,0.342482402197457,0.42740780653179,0.843244266649821
NaN,3.74722222222222,5.3,0.0271958160400391,158.564130189106,257.196667355267,0.922258941344778,1.71738197424893,205.525968277181,1.30887839771102,0.476332500318004,0.335266494997189,0.415217965701567,0.838015301409638
NaN,3.86666666666667,5.3,0.0271958160400391,172.127890479636,272.491284284102,1.03167954220315,1.83409728183119,220.512179151058,1.42559370529328,0.461799510013955,0.327777175310821,0.403177446479455,0.83262978567972
NaN,3.98611111111111,5.3,0.0271958160400391,185.45084592005,287.224416712712,1.13380543633763,1.95081258941345,235.122233745968,1.54230901287554,0.447632205754863,0.320101319148222,0.39133399668729,0.827084314003841
NaN,4.10555555555556,5.3,0.0271958160400391,198.467000628623,301.352441798823,1.24322603719599,2.06752789699571,249.295295715323,1.6590243204578,0.433866661919288,0.312322491881587,0.379733448025663,0.821375502913832
NaN,4.225,5.3,0.0271958160400391,211.126193109967,314.848321332782,1.35264663805436,2.17694849785408,262.987257221374,1.77573962804006,0.420532924349124,0.304516660171594,0.368416230842684,0.8155
NaN,4.34444444444444,5.3,0.0271958160400391,223.392229627795,327.698996872224,1.45477253218884,2.28636909871245,276.168526819915,1.88516022889843,0.407653661112952,0.296749932691655,0.35741561775111,0.809454493668502
NaN,4.46388888888889,5.3,0.0271958160400391,235.240783163647,339.902717905889,1.55689842632332,2.39578969957082,288.82164144662,1.9945808297568,0.395243965119198,0.289077794958257,0.346757205342376,0.803235723613031
NaN,4.58333333333333,5.3,0.0271958160400391,246.657298259865,351.466537013713,1.6590243204578,2.49791559370529,300.938946514152,2.10400143061516,0.383311866711493,0.281545337279191,0.336459193199439,0.796840492027287
NaN,4.70277777777778,5.3,0.0271958160400391,257.635046149462,362.404095359984,1.76115021459227,2.59274678111588,312.520484261372,2.19883261802575,0.371859222632718,0.274188072650804,0.326533116114251,0.790265675583538
NaN,4.82222222222222,5.3,0.0271958160400391,268.173403958422,372.733745814599,1.85598140200286,2.68757796852647,323.572156027151,2.30095851216023,0.360882752274341,0.267033050863515,0.316984785691547,0.783508238201054
NaN,4.94166666666667,5.3,0.0271958160400391,278.276384055992,382.477013389645,1.94351788268956,2.77511444921316,334.104175213499,2.39578969957082,0.350375077065758,0.26010007133098,0.30781528230637,0.776565244626303
NaN,5.06111111111111,5.3,0.0271958160400391,287.951410023642,391.657366000601,2.03105436337625,2.85535622317597,344.129798425061,2.48332618025751,0.340325681155568,0.25340287207106,0.299021902465429,0.769433874844461
NaN,5.18055555555556,5.3,0.0271958160400391,297.208319200266,400.299256071938,2.11129613733906,2.93559799713877,353.664306837481,2.57086266094421,0.330721753872614,0.246950226028601,0.290599011401605,0.762111439339024
NaN,5.3,5.3,0.0271958160400391,306.05856405462,408.427389925006,2.19153791130186,3.00854506437768,362.724203487911,2.65110443490701,0.321548901315318,0.240746912106385,0.282538780023819,0.754595395212987
