eta_out,sI,sF,r,Cmean_inf,Cmean_for,Cmed_inf,Cmed_for,Cmean_tot,Cmed_tot
NaN,3.15,5.3,0.0271960067749023,60.8395264311696,96.1953012592311,0.443048057184952,0.699089191463697,159.198409186675,0.542308064763509
NaN,3.26944444444444,5.3,0.0271958160400391,62.084498927472,95.8349011775261,0.45336299435184,0.696420337723253,159.895328837389,0.558828377063982
NaN,3.38888888888889,5.3,0.0271958160400391,63.3320028565894,95.5236570448748,0.46313934949947,0.694007463002614,160.669644367804,0.575882997087159
NaN,3.50833333333333,5.3,0.0271958160400391,64.5760036934205,95.2591842788627,0.473123426059772,0.692177539783597,161.507158979564,0.592757872324804
NaN,3.62777777777778,5.3,0.0271958160400391,65.8111371980883,95.0387292350354,0.482748160321711,0.690303277324733,162.395532845207,0.601110818324776
NaN,3.74722222222222,5.3,0.0271958160400391,67.0328919549165,94.8592235473611,0.492648317711121,0.689023559036869,163.32411279208,0.606203950995551
NaN,3.86666666666667,5.3,0.0271958160400391,68.2377139666189,94.7174073818567,0.502295141910677,0.687718187931915,164.28386810905,0.609939076452207
NaN,3.98611111111111,5.3,0.0271958160400391,69.4230003300299,94.6099558682989,0.511239692235933,0.686706671453749,165.267294578765,0.613788336525669
NaN,4.10555555555556,5.3,0.0271958160400391,70.587020411104,94.5335887509105,0.520558052940423,0.685994039093878,166.268279318143,0.617062907009498
NaN,4.225,5.3,0.0271958160400391,71.728797649435,94.4851550449388,0.529759944103427,0.685274006915217,167.281938389752,0.620720642363758
NaN,4.34444444444444,5.3,0.0271958160400391,72.8479768048534,94.4616916794957,0.538409856934735,0.684860717383896,168.304443145963,0.623951677494111
NaN,4.46388888888889,5.3,0.0271958160400391,73.9446931244971,94.4604589743756,0.547017834119022,0.684757749009239,169.332848907004,0.627341772816117
NaN,4.58333333333333,5.3,0.0271958160400391,75.0194530245566,94.4789574119385,0.5555999525862,0.684653249450692,170.364935347998,0.630766935028888
NaN,4.70277777777778,5.3,0.0271958160400391,76.0730308531713,94.5149304119004,0.564169632108736,0.684543907609439,171.399063909694,0.634336423745743
NaN,4.82222222222222,5.3,0.0271958160400391,77.1063829775144,94.5663573467265,0.572309261697502,0.684745115096594,172.434054385028,0.637718200763605
NaN,4.94166666666667,5.3,0.0271958160400391,78.1205784548346,94.6314402728726,0.580047904213078,0.684934349954413,173.469080676522,0.641250350286979
NaN,5.06111111111111,5.3,0.0271958160400391,79.1167445152653,94.7085870451297,0.587826413888903,0.68510254380163,174.503584417254,0.644644871007228
NaN,5.18055555555556,5.3,0.0271958160400391,80.0960246742885,94.7963927525269,0.595235756145662,0.685571351223869,175.537204480812,0.648126452804445
NaN,5.3,5.3,0.0271958160400391,81.0595472570816,94.8936208133463,0.602701349745449,0.686004170979027,176.569720166439,0.651495376484076
