eta,Tc,Tl,Tr,G,rB,Gap,popI,popF,Y,Btarget
0.4,0.0661977895039049,0.0900000000000001,0.0198,0.07,0.066397789503905,0,0.399999999999999,0.600000000000001,0.732000000000001,2.14183623985417
0.433333333333333,0.0648534816983032,0.0850000000000001,0.0214499999999999,0.07,0.0584034816983034,0,0.433333333333332,0.566666666666668,0.709666666666667,1.88397029802671
0.466666666666667,0.0634332815624563,0.0800000000000001,0.0231,0.07,0.0503332815624565,0,0.466666666666666,0.533333333333334,0.687333333333334,1.62364305531871
0.5,0.0619497731252037,0.0750000000000001,0.02475,0.07,0.0421997731252039,0,0.499999999999999,0.500000000000001,0.665000000000001,1.36127362341241
0.533333333333333,0.0604123899517264,0.0700000000000001,0.0263999999999999,0.07,0.0340123899517266,0,0.533333333333332,0.466666666666668,0.642666666666667,1.09716630876506
0.566666666666667,0.0588277115943689,0.0650000000000001,0.02805,0.07,0.0257777115943691,0,0.566666666666666,0.433333333333334,0.620333333333334,0.831533353538081
0.6,0.0572000117242887,0.0600000000000001,0.0297,0.07,0.0175000117242889,0,0.599999999999999,0.400000000000001,0.598000000000001,0.564512617141407
0.633333333333333,0.0555317333322618,0.0550000000000001,0.03135,0.07,0.00918173333226192,0,0.633333333333333,0.366666666666668,0.575666666666667,0.296182905186042
0.666666666666667,0.053823842092464,0.0500000000000002,0.033,0.0700000000000001,0.00082384209246416,0,0.666666666666666,0.333333333333334,0.553333333333334,0.0265753682371944
0.7,0.0520760709225948,0.0450000000000001,0.03465,0.07,-0.00757392907740512,0,0.7,0.300000000000001,0.531000000000001,-0.244318609203852
0.733333333333333,0.0502870834804297,0.0400000000000001,0.0363,0.07,-0.0160129165195702,1.38777878078145e-17,0.733333333333333,0.266666666666667,0.508666666666667,-0.516542134653726
0.766666666666667,0.0484545860551152,0.0350000000000001,0.03795,0.07,-0.0244954139448847,0,0.766666666666666,0.233333333333334,0.486333333333334,-0.790169198275259
0.8,0.0465754181778868,0.0300000000000001,0.0396,0.07,-0.0330245818221132,0,0.8,0.2,0.464,-1.06530174997121
