scenario,eta_target,r,B,B_over_Y,A_priv,eta_real,Y,C,G,PB,BB,giniW_I,giniW_F,giniW_T,giniC_T
BASE,0.654,0.0096875,0.35,0.622975330176926,0.347755131076119,0.897715394612037,0.561819999999999,0.442958078874867,0.0449455999999999,0.067263054197476,0.063872429197476,0.565117073066515,0.313812997379335,0.49591373907176,0.170177804908693
LOW INCOME,0.654,0.00578125,0.35,0.875474945157749,0.349042335106319,0.897715394612037,0.399783,0.310775540610787,0.03198264,0.0502564873099415,0.0482330498099415,0.51302411302469,0.300770530039681,0.458146809279867,0.180255015305874
LOW INC + 15% TR,0.654,0.006953125,0.35,0.87547494515775,0.349576416618414,0.897715394612037,0.399782999999999,0.312772529526639,0.0319826399999999,0.0487221248147948,0.0462885310647948,0.511453876550327,0.30087203744029,0.457043834447573,0.178896623502663
